note0,note1,note2,note3
67,58,53,46
67,58,53,46
67,58,53,46
65,58,53,46
64,58,53,46
64,58,53,46
62,58,53,46
62,58,53,46
60,58,53,46
60,58,53,46
62,58,53,46
62,58,53,46
64,58,53,46
64,58,53,46
60,58,53,46
60,58,53,46
62,58,53,46
64,58,53,46
65,58,53,46
62,58,53,46
64,58,53,46
64,58,53,46
64,58,53,46
62,58,53,46
60,58,53,46
60,58,53,46
59,58,53,46
59,58,53,46
60,58,53,46
60,58,53,46
60,58,53,46
60,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
65,58,53,46
64,58,53,46
64,58,53,46
62,58,53,46
62,58,53,46
60,58,53,46
60,58,53,46
62,58,53,46
62,58,53,46
64,58,53,46
64,58,53,46
60,58,53,46
60,58,53,46
62,58,53,46
64,58,53,46
65,58,53,46
62,58,53,46
64,58,53,46
64,58,53,46
64,58,53,46
62,58,53,46
60,58,53,46
60,58,53,46
59,58,53,46
59,58,53,46
60,58,53,46
60,58,53,46
60,58,53,46
60,58,53,46
62,58,53,46
62,58,53,46
62,58,53,46
64,58,53,46
65,58,53,46
65,58,53,46
62,58,53,46
62,58,53,46
64,58,53,46
64,58,53,46
64,58,53,46
65,58,53,46
65,58,53,46
67,58,53,46
69,58,53,46
69,58,53,46
69,58,53,46
71,58,53,46
72,58,53,46
72,58,53,46
71,58,53,46
71,58,53,46
69,58,53,46
69,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
65,58,53,46
64,58,53,46
64,58,53,46
62,58,53,46
62,58,53,46
60,58,53,46
60,58,53,46
62,58,53,46
62,58,53,46
64,58,53,46
64,58,53,46
60,58,53,46
60,58,53,46
69,58,53,46
69,58,53,46
69,58,53,46
69,58,53,46
67,58,53,46
67,58,53,46
67,58,53,46
65,58,53,46
64,58,53,46
64,58,53,46
62,58,53,46
62,58,53,46
60,58,53,46
60,58,53,46
60,58,53,46
60,58,53,46
