note0,note1,note2,note3
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58 
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58 
74,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58 
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58 
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
81,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
79,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
77,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
76,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58
74,70,65,58 
72,70,65,58
72,70,65,58
72,70,65,58
72,70,65,58
